,errors,samples_type
0,1.0,train
1,1.0,train
2,1.0,train
3,1.0,train
4,1.0,train
5,1.0,train
6,1.0,train
7,1.0,train
8,1.0,train
9,1.0,train
10,1.0,train
11,1.0,train
12,1.0,train
13,1.0,train
14,1.0,train
15,1.0,train
16,1.0,train
17,1.0,train
18,1.0,train
19,1.0,train
20,1.0,train
21,1.0,train
22,1.0,train
23,1.0,train
24,1.0,train
25,1.0,train
26,1.0,train
27,1.0,train
28,1.0,train
29,1.0,train
30,1.0,train
31,1.0,train
32,1.0,train
33,1.0,train
34,1.0,train
35,1.0,train
36,1.0,train
37,1.0,train
38,1.0,train
39,1.0,train
40,1.0,train
41,1.0,train
42,1.0,train
43,1.0,train
44,1.0,train
45,1.0,train
46,1.0,train
47,1.0,train
48,1.0,train
49,1.0,train
50,1.0,train
51,1.0,train
52,1.0,train
53,1.0,train
54,1.0,train
55,1.0,train
56,1.0,train
57,1.0,train
58,1.0,train
59,1.0,train
60,1.0,train
61,1.0,train
62,1.0,train
63,1.0,train
64,1.0,train
65,1.0,train
66,1.0,train
67,1.0,train
68,1.0,train
69,1.0,train
70,1.0,train
71,1.0,train
72,1.0,train
73,1.0,train
74,1.0,train
75,1.0,train
76,1.0,train
77,1.0,train
78,1.0,train
79,1.0,train
80,1.0,train
81,1.0,train
82,1.0,train
83,1.0,train
84,1.0,train
85,1.0,train
86,1.0,train
87,1.0,train
88,1.0,train
89,1.0,train
90,1.0,train
91,1.0,train
92,1.0,train
93,1.0,train
94,1.0,train
95,1.0,train
96,1.0,train
97,1.0,train
98,1.0,train
99,1.0,train
100,1.0,train
101,1.0,train
102,1.0,train
103,1.0,train
104,1.0,train
105,1.0,train
106,1.0,train
107,1.0,train
108,1.0,train
109,1.0,train
110,1.0,train
111,1.0,train
112,1.0,train
113,1.0,train
114,1.0,train
115,1.0,train
116,1.0,train
117,1.0,train
118,1.0,train
119,1.0,train
120,1.0,train
121,1.0,train
122,1.0,train
123,1.0,train
124,1.0,train
125,1.0,train
126,1.0,train
127,1.0,train
128,1.0,train
129,1.0,train
130,1.0,train
131,1.0,train
132,1.0,train
133,1.0,train
134,1.0,train
135,1.0,train
136,1.0,train
137,1.0,train
138,1.0,train
139,1.0,train
140,1.0,train
141,1.0,train
142,1.0,train
143,1.0,train
144,1.0,train
145,1.0,train
146,1.0,train
147,1.0,train
148,1.0,train
149,1.0,train
150,1.0,train
151,1.0,train
152,1.0,train
153,1.0,train
154,1.0,train
155,1.0,train
156,1.0,train
157,1.0,train
158,1.0,train
159,1.0,train
160,1.0,train
161,1.0,train
162,1.0,train
163,1.0,train
164,1.0,train
165,1.0,train
166,1.0,train
167,1.0,train
168,1.0,train
169,1.0,train
170,1.0,train
171,1.0,train
172,1.0,train
173,1.0,train
174,1.0,train
175,1.0,train
176,1.0,train
177,1.0,train
178,1.0,train
179,1.0,train
180,1.0,train
181,1.0,train
182,1.0,train
183,1.0,train
184,1.0,train
185,1.0,train
186,1.0,train
187,1.0,train
188,1.0,train
189,1.0,train
190,1.0,train
191,1.0,train
192,1.0,train
193,1.0,train
194,1.0,train
195,1.0,train
196,1.0,train
197,1.0,train
198,1.0,train
199,1.0,train
200,1.0,train
201,1.0,train
202,1.0,train
203,1.0,train
204,1.0,train
205,1.0,train
206,1.0,train
207,1.0,train
208,1.0,train
209,1.0,train
210,1.0,train
211,1.0,train
212,1.0,train
213,1.0,train
214,1.0,train
215,1.0,train
216,1.0,train
217,1.0,train
218,1.0,train
219,1.0,train
220,1.0,train
221,1.0,train
222,1.0,train
223,1.0,train
224,1.0,train
225,1.0,train
226,1.0,train
227,1.0,train
228,1.0,train
229,1.0,train
230,1.0,train
231,1.0,train
232,1.0,train
233,1.0,train
234,1.0,train
235,1.0,train
236,1.0,train
237,1.0,train
238,1.0,train
239,1.0,train
240,1.0,train
241,1.0,train
242,1.0,train
243,1.0,train
244,1.0,train
245,1.0,train
246,1.0,train
247,1.0,train
248,1.0,train
249,1.0,train
250,1.0,train
251,1.0,train
252,1.0,train
253,1.0,train
254,1.0,train
255,1.0,train
256,1.0,train
257,1.0,train
258,1.0,train
259,1.0,train
260,1.0,train
261,1.0,train
262,1.0,train
263,1.0,train
264,1.0,train
265,1.0,train
266,1.0,train
267,1.0,train
268,1.0,train
269,1.0,train
270,1.0,train
271,1.0,train
272,1.0,train
273,1.0,train
274,1.0,train
275,1.0,train
276,1.0,train
277,1.0,train
278,1.0,train
279,1.0,train
280,1.0,train
281,1.0,train
282,1.0,train
283,1.0,train
284,1.0,train
285,1.0,train
286,1.0,train
287,1.0,train
288,1.0,train
289,1.0,train
290,1.0,train
291,1.0,train
292,1.0,train
293,1.0,train
294,1.0,train
295,1.0,train
296,1.0,train
297,1.0,train
298,1.0,train
299,1.0,train
300,1.0,train
301,1.0,train
302,1.0,train
0,1.0,val
1,1.0,val
2,1.0,val
3,1.0,val
4,1.0,val
5,1.0,val
6,1.0,val
7,1.0,val
8,1.0,val
9,1.0,val
10,1.0,val
11,1.0,val
12,1.0,val
13,1.0,val
14,1.0,val
15,1.0,val
16,1.0,val
17,1.0,val
18,1.0,val
19,1.0,val
20,1.0,val
21,1.0,val
